"Title";"Bedrooms";"Bathrooms";"Floor_no";"Occupancy_status";"Floor_area";"City";"price_in_taka";"Location";"price_per_sqft"
"1090 SQ FT APARTMENT IS AVAILABLE FOR SALE IN MIRPUR, WEST SHEWRAPARA";3;2;6;"VACANT";1090;"DHAKA";5500000;"WEST SHEWRAPARA, MIRPUR";5045.8716
"1095 SQ FT FLAT WITH 3 BEDROOMS FOR SALE IN MID BADDA";3;2;7;"VACANT";1095;"DHAKA";7000000;"MIDDLE BADDA, BADDA";6392.6941
"1100 SQ FT APARTMENT IS FOR SALE IN MIRPUR, SECTION 1";3;2;6;"VACANT";1100;"DHAKA";6400000;"SECTION 1, MIRPUR";5818.1818
"1100 SQ FT FLAT FOR SALE IN MIRPUR SECTION 6";3;3;5;"VACANT";1100;"DHAKA";8000000;"SECTION 6, MIRPUR";7272.7273
"1100 SQ FT FLAT IS NOW FOR SALE IN MIRPUR NEAR TO LIFE AID SPECIALIZED HOSPITAL";3;2;3;"VACANT";1100;"DHAKA";4950000;"MIDDLE MONIPUR, MIRPUR";4500.0
"1100 SQ FT FLAT IS UP FOR SALE IN AGRABAD HOUSING RESIDENTIAL AREA, DOUBLE MOORING";3;3;1;"VACANT";1100;"CHATTOGRAM";4500000;"24 NO. NORTH AGRABAD WARD, DOUBLE MOORING";4090.9091
"1100 SQ FT RESIDENTIAL APARTMENT FOR SALE IN MIRPUR 10";3;3;2;"VACANT";1100;"DHAKA";6700000;"SECTION 10, MIRPUR";6090.9091
"1100 SQUARE FEET LUXURIOUS APARTMENT IS READY FOR SALE AT 14 NO. LALKHAN BAZAAR WARD";3;3;4;"VACANT";1100;"CHATTOGRAM";7000000;"14 NO. LALKHAN BAZAAR WARD, LAL KHAN BAZAAR";6363.6364
"1105 SQUARE FEET FLAT IS WAITING FOR SALE AT BEGUM ROKEYA SHARANI, EAST KAZIPARA";3;3;7;"VACANT";1105;"DHAKA";7500000;"EAST KAZIPARA, MIRPUR";6787.3303
"1120 SQ FT FLAT FOR FAMILY, IS READY FOR SALE AT MIRPUR";3;3;1;"VACANT";1120;"DHAKA";5600000;"SECTION 2, MIRPUR";5000.0
"1120 SQ FT FLAT IS UP FOR SALE WITH DURABLE FITTINGS IN IBRAHIMPUR, NORTH KAFRUL ROAD";3;3;8;"VACANT";1120;"DHAKA";5040000;"NORTH KAFRUL ROAD, IBRAHIMPUR";4500.0
"1120 SQ.FT FLAT IS AVAILABLE FOR SALE IN EAST HAZIPARA NEAR TO EAST HAZIPARA MASJID.";3;3;5;"VACANT";1120;"DHAKA";6160000;"EAST RAMPURA, RAMPURA";5500.0
"1130 SQ FT APARTMENT IS READY FOR SALE AT 17 NO WEST BAKALIA WARD";3;3;1;"VACANT";1130;"CHATTOGRAM";5300000;"17 NO WEST BAKALIA WARD, BAKALIA";4690.2655
