"Title";"Bedrooms";"Bathrooms";"Floor_no";"Occupancy_status";"Floor_area";"City";"price_in_taka";"Location";"price_per_sqft"
"800 SQ FT APARTMENT IS AVAILABLE FOR SALE IN TONGI, GAZIPUR";2;1;3;"VACANT";800;"GAZIPUR";2560000;"TONGI, GAZIPUR SADAR UPAZILA";3200.0
"800 SQ FT FLAT IS NOW FOR SALE IN WEST AHMED NAGAR";2;2;3;"VACANT";800;"DHAKA";4000000;"AHMED NAGAR, MIRPUR";5000.0
"800 SQ FT FLAT IS READY FOR SALE AT MOHAMMADPUR";2;2;4;"VACANT";800;"DHAKA";3200000;"NOBODOY HOUSING SOCIETY, MOHAMMADPUR";4000.0
"800 SQ FT RESIDENTIAL APARTMENT IS ON SALE IN FIRINGEE BAZAAR NEARBY BRIDGE GHAT BAITUR RIDUAN JAME MASJID";2;2;4;"VACANT";800;"CHATTOGRAM";4000000;"ABHOY MITRA LANE, 33 NO. FIRINGEE BAZAAR WARD";5000.0
"800 SQ.FT APARTMENT IS AVAILABLE FOR SALE IN SOUTH CHALABON NEAR CHALABAN WATER PUMP WHICH IS TAILORED TO YOUR HIGHEST STANDARDS";2;2;7;"VACANT";800;"DHAKA";3800000;"SOUTH CHALABON, DAKSHIN KHAN";4750.0
"840 SQ FT FLAT IS NOW VACANT FOR SALE IN KAFRUL";2;2;8;"VACANT";840;"DHAKA";5000000;"NORTH KAFRUL RD, KAFRUL";5952.381
"850 SQ FT FLAT FOR SALE IN SOUTH BADDA";2;2;1;"VACANT";850;"DHAKA";5000000;"SOUTH BADDA, BADDA";5882.3529
"850 SQ FT FLAT FOR SALE IN TALTOLA, KHILGAON";2;2;2;"VACANT";850;"DHAKA";5500000;"TALTOLA, KHILGAON";6470.5882
"850 SQ FT READY COMFORTABLE FLAT FOR SALE AT BAYAZID CLOSE TO BANGLA BAZAR BORO PAHAR JAME MOSJID";3;2;1;"VACANT";850;"CHATTOGRAM";3900000;"BANGLA BAZAR, BAYAZID";4588.2353
"860 SQ FT APARTMENT IS FOR SALE IN MIRPUR-1";2;2;4;"VACANT";860;"DHAKA";5590000;"SECTION 1, MIRPUR";6500.0
"874 SQ FT APARTMENT SPACE IS AVAILABLE FOR SALE AT 17 NO WEST BAKALIA WARD";2;2;6;"VACANT";874;"CHATTOGRAM";4800000;"17 NO WEST BAKALIA WARD, BAKALIA";5491.9908
"879 SQ FT APARTMENT FOR SALE IN WEST KAZIPARA, MIRPUR";3;2;4;"VACANT";879;"DHAKA";5274000;"WEST KAZIPARA, MIRPUR";6000.0
"900 SQ FT APARTMENT FOR SALE IN BAYAZID, NEAR ASHEKANE AWLIA DEGREE COLLEGE";2;2;2;"VACANT";900;"CHATTOGRAM";4800000;"SHAHID NAGAR, BAYAZID";5333.3333
"900 SQ FT APARTMENT IS UP FOR SALE IN BAYAZID, NEAR DR. MAHMOODUR RAHMAN CHOWDHURY MOSQUE.";2;2;5;"VACANT";900;"CHATTOGRAM";3800000;"DREAMLAND RESIDENTIAL AREA, BAYAZID";4222.2222
"900 SQ FT FLAT WITH 2 BEDROOMS IS FOR SALE AT BAYAZID";2;2;7;"VACANT";900;"CHATTOGRAM";5000000;"BANGLADESH CO-OPERATIVE HOUSING SOCIETY, BAYAZID";5555.5556
"900 SQ FT RESIDENTIAL APARTMENT IS ON SALE IN SECTOR 10, UTTARA";2;2;2;"VACANT";900;"DHAKA";4800000;"SECTOR 10, UTTARA";5333.3333
"900 SQUARE FEET APARTMENT IS FOR SALE AT KAMAL SHARANI, WEST MONIPUR";3;2;3;"VACANT";900;"DHAKA";4320000;"WEST MONIPUR, MIRPUR";4800.0
"915 SQ FT FLAT IS AVAILABLE FOR SALE IN KANDIRPAR, MANOHARPUR";2;2;6;"VACANT";915;"CUMILLA";4700000;"MANOHARPUR, KANDIRPAR";5136.612
"920 SQ FT COZY FLAT WITH BENEFICIAL FEATURES IS UP FOR SALE IN GAZIPUR SADAR UPAZILA, CHANDANA";3;2;8;"VACANT";920;"GAZIPUR";3220000;"CHANDANA, GAZIPUR SADAR UPAZILA";3500.0
"920 SQ FT COZY FLAT WITH IMPRESSIVE FEATURES IS UP FOR SALE IN GAZIPUR SADAR UPAZILA";3;2;9;"VACANT";920;"GAZIPUR";3220000;"CHANDANA, GAZIPUR SADAR UPAZILA";3500.0
"920 SQ FT DESIRABLE FLAT WITH NECESSARY HOME UTILITIES IS UP FOR SALE IN GAZIPUR SADAR UPAZILA, CHANDANA CHOWRASTA";3;2;6;"VACANT";920;"GAZIPUR";3220000;"CHANDANA, GAZIPUR SADAR UPAZILA";3500.0
"920 SQ FT SOOTHING FLAT WITH NECESSARY FEATURES IS UP FOR SALE IN GAZIPUR SADAR UPAZILA, CHANDANA CHOWRASTA";3;2;6;"VACANT";920;"GAZIPUR";3220000;"CHANDANA, GAZIPUR SADAR UPAZILA";3500.0
"930 SQ FT FLAT FOR SALE IN MIRPUR, MIDDLE MONIPUR, BAITUR ROWSHAN JAME MASJID ROAD";2;2;1;"VACANT";930;"DHAKA";5200000;"MIDDLE MONIPUR, MIRPUR";5591.3978
"935 SQ FT FLAT READY FOR SALE IN SOUTH PIRERBAG";3;2;3;"VACANT";935;"DHAKA";6610000;"PIRERBAG, MIRPUR";7069.5187
"950 SQ FT APARTMENT FOR SALE IN DAKSHIN KHAN, NEAR ISLAMI BANK BD LTD.";3;2;2;"VACANT";950;"DHAKA";4000000;"MOUSHAIR, DAKSHIN KHAN";4210.5263
"950 SQ FT FLAT FEATURING 3 BEDROOMS FOR SALE IN MALIBAGH";3;2;2;"VACANT";950;"DHAKA";6000000;"GULBAG, MALIBAGH";6315.7895
"950 SQ. FT. FLAT READY FOR SALE AT NORTH PIRERBAG.";3;2;3;"VACANT";950;"DHAKA";3500000;"PIRERBAG, MIRPUR";3684.2105
"960 SQ. FT. APARTMENT IS FOR SALE IN DAKSHIN KHAN NEAR MRIDHA MARKET";3;2;5;"VACANT";960;"DHAKA";3700000;"MOUSHAIR, DAKSHIN KHAN";3854.1667
"963 SQ. FT FLAT FOR SALE BESIDE TO KHILKHET BAZAR MASJID IN DUMNI .";3;2;1;"VACANT";963;"DHAKA";2503800;"BAZAR ROAD, DUMNI";2600.0
"965 SQ FT APARTMENT IS UP FOR SALE IN 33 NO. FIRINGEE BAZAAR WARD";3;3;7;"VACANT";965;"CHATTOGRAM";5200000;"ABHOY MITRA LANE, 33 NO. FIRINGEE BAZAAR WARD";5388.601
"980 SQ FT APARTMENT IS READY FOR SALE AT UTTAR BADDA";2;2;2;"VACANT";980;"DHAKA";4500000;"UTTAR BADDA, BADDA";4591.8367
"A 1,365 SQ FT FLAT IS UP FOR SALE IN A WELL SECURED LOCATION OF UTTAR BADDA";3;3;3;"VACANT";1365;"DHAKA";8540000;"UTTAR BADDA, BADDA";6256.4103
"A 1000 SQ FT, READY FLAT IS UP FOR SALE AT ADABOR NEARBY PADAKHEP MANABIK UNNAYAN KENDRA.";3;2;1;"VACANT";1000;"DHAKA";6800000;"BAITUL AMAN HOUSING SOCIETY, ADABOR";6800.0
"A 1000 SQUARE FEET MEDIUM SIZE RESIDENTIAL APARTMENT FOR SALE BESIDE TO JANATA BANK LIMITED AT ARICHPUR .";3;3;4;"VACANT";1000;"GAZIPUR";3800000;"TONGI, GAZIPUR SADAR UPAZILA";3800.0
"A 1080 SQ FT RESIDENTIAL APARTMENT FOR SALE AT RAMMALA ROAD, THAKUR PARA";2;2;5;"VACANT";1080;"CUMILLA";3780000;"SOUTH THAKUR PARA, THAKUR PARA";3500.0
"A 1100 SQ FT APARTMENT IS WAITING FOR SALE AT LAL KHAN BAZAAR NEARBY CHITTAGONG POLICE INSTITUTION";3;3;1;"VACANT";1100;"CHATTOGRAM";5500000;"14 NO. LALKHAN BAZAAR WARD, LAL KHAN BAZAAR";5000.0
"A 1125 SQ FT FLAT CAN BE FOUND IN DAKSHIN KHAN FOR SALE";3;2;3;"VACANT";1125;"DHAKA";4775000;"FAYDABAD, DAKSHIN KHAN";4244.4444
"A 1150 SQ FT FLAT IS UP FOR SALE IN A WELL SECURED LOCATION OF KULGAON, BAYAZID";3;3;7;"VACANT";1150;"CHATTOGRAM";5800000;"KULGAON, BAYAZID";5043.4783
"A 1150 SQ. FT APARTMENT WHICH IS UP FOR SALE AT SHOLOKBAHAR NEAR DUTCH BANGLA BANK LTD.";2;2;1;"VACANT";1150;"CHATTOGRAM";5800000;"ABDUL LATIF ROAD, SHOLOKBAHAR";5043.4783
"A 1160 SQ FT FLAT IS UP FOR SALE IN A WELL SECURED LOCATION OF SECTION 1, MIRPUR";3;3;7;"VACANT";1160;"DHAKA";8000000;"SECTION 1, MIRPUR";6896.5517
"A 1180 SQ FT FLAT IS UP FOR SALE IN A WELL SECURED LOCATION OF SHOLOKBAHAR";3;3;6;"VACANT";1180;"CHATTOGRAM";7500000;"ABDULLAH KHAN ROAD, SHOLOKBAHAR";6355.9322
"A 1180 SQUARE FT RESIDENTIAL APARTMENT FOR SALE AT BOROBAG -MIRPUR 2.";3;3;4;"VACANT";1180;"DHAKA";6490000;"SECTION 2, MIRPUR";5500.0
"A 1190 SQ FT APARTMENT FOR SALE IS ALL SET FOR YOU IN CUMILLA NEAR BAGICHAGAON PRIMARY SCHOOL";3;3;4;"VACANT";1190;"CUMILLA";5260000;"SOUTH BAGICHAGAON, BAGICHAGAON";4420.1681
"A 1200 SQUARE FEET APARTMENT IS FOR SALE IS ALL SET FOR YOU IN DEWAN BAZAR NEARBY KHEJURTOLI MOSQUE";3;3;1;"VACANT";1200;"CHATTOGRAM";7700000;"DEWAN BAZAR, BAKALIA";6416.6667
"A 1200 SQUARE FEET-3 BEDROOM RESIDENTIAL APARTMENT FOR SALE AT 33 NO. FIRINGEE BAZAAR WARD.";3;3;1;"VACANT";1200;"CHATTOGRAM";6000000;"YAKUB NAGAR ROAD, 33 NO. FIRINGEE BAZAAR WARD";5000.0
"A 1220 SQ FT HOME IS AVAILABLE TO SALE IN WEST SHEWRAPARA";3;2;6;"VACANT";1220;"DHAKA";5000000;"WEST SHEWRAPARA, MIRPUR";4098.3607
"A 1220 SQ. FT. RESIDENTIAL APARTMENT IS FOR SALE AT BANASREE , MAIN ROAD .";3;3;4;"VACANT";1220;"DHAKA";9500000;"BLOCK F, BANASREE";7786.8852
"A 1250 SQ. FT APARTMENT IS VACANT FOR SALE IN ASHOKTALA NEAR TO RANIR BAZAR JAME MASJID.";3;3;8;"VACANT";1250;"CUMILLA";4375000;"NAZRUL AVENUE, ASHOKTALA";3500.0
"A 1255 SQ FT RESIDENCE FOR SALE WITH SPACIOUS BEDROOMS, LOCATED AT KAPASGOLA, 16 NO. CHAWK BAZAAR WARD .";3;3;4;"VACANT";1255;"CHATTOGRAM";10000000;"KAPASGOLA, 16 NO. CHAWK BAZAAR WARD";7968.1275
"A 1275 SQ. FT APARTMENT WHICH IS UP FOR SALE AT BAKALIA NEAR TO KALAMIA BAZAR";3;3;2;"VACANT";1275;"CHATTOGRAM";4845000;"18 NO. EAST BAKALIA WARD, BAKALIA";3800.0
"A 1300 SQ FT FLAT IS UP FOR SALE IN A WELL SECURED LOCATION OF SOUTH KHULSHI";3;3;2;"VACANT";1300;"CHATTOGRAM";9700000;"SOUTH KHULSHI, KHULSHI";7461.5385
"A 1330 SQ FT RESIDENTIAL APARTMENT FOR SALE AT SADAR HOSPITAL ROAD, MONOHORPUR";3;3;1;"VACANT";1330;"CUMILLA";5320000;"SADAR HOSPITAL ROAD, MONOHORPUR";4000.0
"A 1330 SQUARE FT. APARTMENT IS FOR SALE AT BANASREE";3;3;1;"VACANT";1330;"DHAKA";7900000;"BLOCK B, BANASREE";5939.8496
"A 1350 SQ.FT APARTMENT FOR SALE IN JOYDEBPUR VERY CLOSE TO NORTH CHAYABITHI JAME MOSQUE";3;3;9;"VACANT";1350;"GAZIPUR";4500000;"JOYDEBPUR, GAZIPUR SADAR UPAZILA";3333.3333
"A 1380 SQ.FT APARTMENT IS FOR SALE IN AUCHPARA CLOSE TO RAINBOW GRAMMAR SCHOOL";3;3;1;"VACANT";1380;"GAZIPUR";5000000;"TONGI, GAZIPUR SADAR UPAZILA";3623.1884
"A 1400 SQ FT FLAT IS UP FOR SALE IN A WELL SECURED LOCATION OF SOUTH PIRERBAG";3;3;13;"VACANT";1400;"DHAKA";8200000;"PIRERBAG, MIRPUR";5857.1429
"A 1400 SQ FT READY FLAT IS VACANT FOR SALE AT 15 NO. BAGMONIRAM WARD";3;3;6;"VACANT";1400;"CHATTOGRAM";11200000;"15 NO. BAGMONIRAM WARD";8000.0
"A 1400 SQ. FT APARTMENT IS VACANT FOR SALE IN ASHOKTALA NEAR TO RANIR BAZAR JAME MASJID.";3;3;8;"VACANT";1400;"CUMILLA";4900000;"NAZRUL AVENUE, ASHOKTALA";3500.0
"A 1420 SQ. FT BRAND NEW APARTMENT WHICH IS UP FOR SALE AT PALLABI NEAR TO POPULAR HOSPITAL.";3;3;2;"VACANT";1420;"DHAKA";8200000;"PALLABI, MIRPUR";5774.6479
"A 1450 SQ FT FLAT IS UP FOR SALE IN A WELL SECURED LOCATION OF BLOCK H, BANASREE";3;3;9;"VACANT";1450;"DHAKA";11500000;"BLOCK H, BANASREE";7931.0345
"A 1450 SQ.FT RESIDENTIAL APARTMENT FOR SALE AT 9 NO. NORTH PAHARTALI WARD";3;3;4;"VACANT";1450;"CHATTOGRAM";7500000;"ROSE VALLEY RESIDENTIAL AREA, 9 NO. NORTH PAHARTALI WARD";5172.4138
"A 1452 SQ. FT. FLAT IS NOW UP FOR SALE LOCATED NEAR TO METROPOLITAN HOSPITAL IN BAGMONIRAM";3;3;4;"VACANT";1452;"CHATTOGRAM";9300000;"CHATTESHWARI ROAD, 15 NO. BAGMONIRAM WARD";6404.9587
"A 1466 SQ FT FLAT IS UP FOR SALE IN A WELL SECURED LOCATION OF 7 NO. WEST SHOLOSHOHOR WARD";3;3;3;"VACANT";1466;"CHATTOGRAM";7000000;"BIBIRHAT, 7 NO. WEST SHOLOSHOHOR WARD";4774.8977
"A 1470 SQ FEET FLAT FOR SALE IN NORTH BAGICHAGAON";3;3;9;"VACANT";1470;"CUMILLA";5880000;"NORTH BAGICHAGAON, BAGICHAGAON";4000.0
"A 1500 SQ FT FLAT IS UP FOR SALE IN A WELL SECURED LOCATION OF NAYATOLA, MAGHBAZAR";3;3;5;"VACANT";1500;"DHAKA";7300000;"NAYATOLA, MAGHBAZAR";4866.6667
"A 1500 SQ.FT -3 BEDROOM RESIDENTIAL APARTMENT FOR SALE AT 24 NO. NORTH AGRABAD WARD";3;2;5;"VACANT";1500;"CHATTOGRAM";6000000;"24 NO. NORTH AGRABAD WARD, DOUBLE MOORING";4000.0
"A 1500 SQ.FT RESIDENTIAL APARTMENT FOR SALE AT 24 NO. NORTH AGRABAD WARD.";3;2;4;"VACANT";1500;"CHATTOGRAM";6000000;"24 NO. NORTH AGRABAD WARD, DOUBLE MOORING";4000.0
"A 1517 SQ. FT APARTMENT WHICH IS UP FOR SALE AT UTTARA NEAR TO TRUST BANK LIMITED | ATM BOOTH.";3;4;5;"VACANT";1517;"DHAKA";11500000;"SECTOR 10, UTTARA";7580.7515
"A 1524 SQ FT APARTMENT IS READY FOR SALE IN JALALABAD HOUSING SOCIETY, WEST KHULSHI.";3;3;4;"VACANT";1524;"CHATTOGRAM";9500000;"WEST KHULSHI, 9 NO. NORTH PAHARTALI WARD";6233.5958
"A 1525 SQUARE FEET LARGE AND SPACIOUS RESIDENTIAL APARTMENT AT SHIDDHIRGANJ FOR SALE";3;3;2;"VACANT";1525;"NARAYANGANJ-CITY";6800000;"MIZMIZI, SHIDDHIRGANJ";4459.0164
"A 1547 SQ FEET FLAT FOR SALE IN JHAUTOLA";3;3;7;"VACANT";1547;"CUMILLA";6190000;"SHAHID KHAWAJA NIZAMUDDIN ROAD, JHAUTOLA";4001.2928
"A 1547 SQ.FT RESIDENTIAL APARTMENT IS FOR SALE IN JHAUTOLA";3;3;8;"VACANT";1547;"CUMILLA";5878600;"SHAHID KHAWAJA NIZAMUDDIN ROAD, JHAUTOLA";3800.0
"A 1550 SQ FT FLAT IS HERE FOR SALE AT KHILBARI TEK, BADDA";3;3;6;"VACANT";1550;"DHAKA";10850000;"KHILBARI TEK, BADDA";7000.0
"A 1550 SQUARE FEET APARTMENT FOR SALE IS ALL SET FOR YOU IN SOUTH AGRABAD .";3;3;1;"VACANT";1550;"CHATTOGRAM";9335000;"SOUTH AGRABAD, DOUBLE MOORING";6022.5806
"A 1565 SQUARE FEET RESIDENTIAL APARTMENT FOR SALE VERY NEAR TO BAITUL JANNAT JAME MASJID IN KADAMTALI";3;3;2;"VACANT";1565;"CHATTOGRAM";7500000;"23 NO. NORTH PATHANTOOLY WARD, DOUBLE MOORING";4792.3323
"A 1600 SQUARE FEET HOUSE AT 24 NO. NORTH AGRABAD WARD IS UP FOR SALE.";3;2;4;"VACANT";1600;"CHATTOGRAM";6400000;"24 NO. NORTH AGRABAD WARD, DOUBLE MOORING";4000.0
"A 1620 SQ FT RESIDENTIAL APARTMENT FOR SALE, IN BLOCK C, KHILGAON";3;3;4;"VACANT";1620;"DHAKA";16500000;"BLOCK C, KHILGAON";10185.1852
"A 1664 SQ FT READY FLAT IS HERE FOR SALE AT 15 NO. BAGMONIRAM WARD";3;3;7;"VACANT";1664;"CHATTOGRAM";9200000;"MASJID LANE, 15 NO. BAGMONIRAM WARD";5528.8462
"A 1700 SQ FT WELL FITTED RESIDENTIAL PROPERTY IS ON SALE IN CHANDGAON R/A";3;3;8;"VACANT";1700;"CHATTOGRAM";8000000;"CHANDGAON RESIDENTIAL AREA, 4 NO CHANDGAON WARD";4705.8824
"A 1750 SQ FT WONDERFUL FLAT IS FOR SALE AT HILL VIEW R/A";3;3;1;"VACANT";1750;"CHATTOGRAM";10000000;"HILL VIEW R/A, BAYAZID";5714.2857
"A 1800 SQ FT FLAT IS HERE FOR SALE AT MOHAMMADPUR";4;4;2;"VACANT";1800;"DHAKA";14400000;"BASH BARI ROAD, MOHAMMADPUR";8000.0
"A 1956 SQ FT NICE HOUSE IS AVAILABLE FOR SALE AT NEW MONSURABAD, WITH AN AFFORDABLE DEAL";3;3;4;"VACANT";1956;"CHATTOGRAM";10000000;"10 NO. NORTH KATTALI WARD";5112.4744
"A 2 BEDROOM RESIDENTIAL APARTMENT FOR SALE AT PAHARTALI";2;2;6;"VACANT";1150;"CHATTOGRAM";4600000;"12 NO. SARAI PARA WARD, DOUBLE MOORING";4000.0
"A 2 BEDROOMS RESIDENTIAL APARTMENT FOR SALE AT BAYAZID BOSTAMI ROAD .";2;2;4;"VACANT";1000;"CHATTOGRAM";8000000;"BAYAZID BOSTAMI ROAD, 15 NO. BAGMONIRAM WARD";8000.0
"A 2000 SQ FT FLAT IS UP FOR SALE IN A WELL SECURED LOCATION OF BASHUNDHARA R-A";4;4;5;"VACANT";2000;"DHAKA";22000000;"BLOCK B, BASHUNDHARA R-A";11000.0
"A 2156 SQUARE FEET RESIDENTIAL FLAT IS UP FOR SALE AT BLOCK J, BASHUNDHARA R-A";3;3;5;"VACANT";2156;"DHAKA";17000000;"BLOCK J, BASHUNDHARA R-A";7884.9722
"A 2300 SQUARE FT. RESIDENTIAL APARTMENT FOR SALE AT BASHUNDHARA R-A, BLOCK J.";4;4;1;"VACANT";2300;"DHAKA";15000000;"BLOCK J, BASHUNDHARA R-A";6521.7391
"A 2374 SQUARE FEET RESIDENTIAL APARTMENT FOR SALE AT BASHUNDHARA R-A CLOSE TO SUNFLOWER SCHOOL AND COLLEGE.";3;3;2;"VACANT";2374;"DHAKA";26500000;"BLOCK A, BASHUNDHARA R-A";11162.5948
"A 2440 SQ FT FLAT IS UP FOR SALE IN A WELL SECURED LOCATION OF BLOCK H, BASHUNDHARA R/A";4;4;8;"VACANT";2440;"DHAKA";25400000;"BLOCK H, BASHUNDHARA R-A";10409.8361
"A 2829 SQUARE FEET DUPLEX APARTMENT IS FOR SALE AT INDIRA ROAD .";6;4;7;"VACANT";2829;"DHAKA";42435000;"INDIRA ROAD, TEJGAON";15000.0
"A 2961 SQ FT BEAUTIFUL APARTMENT IS UP FOR SALE IN GULSHAN 1";3;3;3;"VACANT";2961;"DHAKA";52500000;"GULSHAN 1, GULSHAN";17730.4965
"A 3 BEDROOM AND 1547 SQ FT FLAT FOR SALE NEAR JHAWTOLA CENTRAL JAME MOSQUE";3;3;9;"VACANT";1547;"CUMILLA";6188000;"SHAHID KHAWAJA NIZAMUDDIN ROAD, JHAUTOLA";4000.0
"A 3 BEDROOM AND 1550 SQ FT PROPERLY DEVELOPED FLAT FOR SALE IN SOUTH AGRABAD NEAR TO BANGLADESH BANK COLONY HIGH SCHOOL";3;3;6;"VACANT";1550;"CHATTOGRAM";9300000;"SOUTH AGRABAD, DOUBLE MOORING";6000.0
"A 3 BEDROOM APARTMENT IS UP FOR SALE IN MIDDLE MONIPUR NEAR MONIPUR HIGH SCHOOL AND COLLEGE.";3;3;5;"VACANT";1200;"DHAKA";5400000;"MIDDLE MONIPUR, MIRPUR";4500.0
"A 3 BEDROOM RESIDENTIAL APARTMENT FOR SALE AT BASHUNDHARA NEXT TO SUNNYDALE SCHOOL .";3;4;4;"VACANT";2230;"DHAKA";21200000;"BLOCK F, BASHUNDHARA R-A";9506.7265
"A 3 BEDROOM RESIDENTIAL APARTMENT FOR SALE CLOSE TO TONGI GOVERNMENT COLLEGE MASJID.";3;3;3;"VACANT";1000;"GAZIPUR";4000000;"TONGI, GAZIPUR SADAR UPAZILA";4000.0
"A 3 BEDROOMS RESIDENCE FOR SALE IN EASTERN HOUSING - PALLABI.";3;2;4;"VACANT";1050;"DHAKA";5000000;"PALLABI, MIRPUR";4761.9048
"A 600 SQ FT APARTMENT IS UP FOR SALE AT NORTH PAHARTALI WARD NEARBY DUTCH BANGLA ATM.";2;2;5;"VACANT";600;"CHATTOGRAM";3000000;"WEST FIROJSHAH COLONY, 9 NO. NORTH PAHARTALI WARD";5000.0
"A 600 SQUARE FEET APARTMENT AT BOCHILA CITY DEVELOPERS LTD FOR SALE";2;1;8;"VACANT";600;"DHAKA";3000000;"BOCHILA, MOHAMMADPUR";5000.0
"A 780 SQ FT FLAT CAN BE FOUND IN BANK COLONY FOR SALE, NEAR HAPPY ISLE INTERNATIONAL SCHOOL";2;2;3;"VACANT";780;"DHAKA";2730000;"BANK COLONY, SAVAR";3500.0
"A 860 SQUARE FEET APARTMENT IS FOR SALE IN THE LOCATION OF RUPNAGAR R/A.";2;2;6;"VACANT";860;"DHAKA";4500000;"RUPNAGAR R/A, MIRPUR";5232.5581
"A 8850 SQUAREÂ FTÂ RESIDENTIAL BUILDING IS FOR SALE AT BANASREE -BLOCK B.";18;10;1;"VACANT";8850;"DHAKA";55000000;"BLOCK B, BANASREE";6214.6893
"A 920 SQ FT FLAT IS VACANT FOR SALE IN CHANDANA CHOWRASTA, GAZIPUR";3;2;9;"VACANT";920;"GAZIPUR";3220000;"CHANDANA, GAZIPUR SADAR UPAZILA";3500.0
"A 950 SQ FT RESIDENTIAL APARTMENT FOR SALE AT GAZIPUR CLOSE TO JOYDEBPUR BUS TERMINAL JAME MOSQUE";2;2;7;"VACANT";950;"GAZIPUR";3800000;"JOYDEBPUR, GAZIPUR SADAR UPAZILA";4000.0
"A 950 SQ FT RESIDENTIAL FLAT IS FOR SALE IN MIRPUR -KACHUKHET ROAD .";3;2;4;"VACANT";950;"DHAKA";5200000;"KACHUKHET ROAD, MIRPUR";5473.6842
"A 970 SQ.FT APARTMENT FOR SALE IS ALL SET FOR YOU IN EAST BASHABO CLOSE TO AGRANI BANK LIMITED";3;2;6;"VACANT";970;"DHAKA";5000000;"EAST BASHABO, BASHABO";5154.6392
"A BEAUTIFUL &AMP; FURNISHED APARTMENT FOR SALE IS ALL SET FOR YOU IN DOUBLE MOORING NEARBY MERCANTILE BANK LIMITED";4;5;5;"VACANT";2750;"CHATTOGRAM";20000000;"24 NO. NORTH AGRABAD WARD, DOUBLE MOORING";7272.7273
"A BEAUTIFUL 972 SFT APARTMENT IS UP FOR SALE AT";2;2;2;"VACANT";972;"CHATTOGRAM";5000000;"SOUTH KHULSHI, KHULSHI";5144.0329
"A BEAUTIFUL APARTMENT FOR SALE IS ALL SET FOR YOU IN MIRPUR NEARBY SENPARA JAME MASJID.";3;3;6;"VACANT";1465;"DHAKA";8800000;"SECTION 10, MIRPUR";6006.8259
"A BEAUTIFUL APARTMENT IS UP FOR SALE AT TONGI NEAR AMZAD ALI SARKAR PILOT GIRLS&#039; HIGH SCHOOL AND COLLEGE";3;2;6;"VACANT";950;"GAZIPUR";2950000;"TONGI, GAZIPUR SADAR UPAZILA";3105.2632
"A BEAUTIFUL APARTMENT IS UP FOR SALE AT UTTARA NEAR ATLANTIC MARITIME ACADEMY";3;5;5;"VACANT";2100;"DHAKA";29000000;"SECTOR 13, UTTARA";13809.5238
"A BEAUTIFUL READY FLAT WITH 3 BEDROOMS IS AVAILABLE FOR SALE AT 16 NO. CHAWK BAZAAR WARD";3;4;2;"VACANT";1760;"CHATTOGRAM";16000000;"PANCHLAISH RESIDENTIAL AREA, 16 NO. CHAWK BAZAAR WARD";9090.9091
"A BEAUTIFUL READY FLAT WITH 3 BEDROOMS IS AVAILABLE FOR SALE AT AGRABAD GOLDEN COMPLEX, DOUBLE MOORING";3;3;6;"VACANT";1423;"CHATTOGRAM";7115000;"25 NO. RAMPUR WARD, DOUBLE MOORING";5000.0
"A BEAUTIFULLY CONSTRUCTED APARTMENT OF 1690 SQ FT IS VACANT RIGHT NOW FOR SALE IN 24 NO. NORTH AGRABAD WARD,";3;3;6;"VACANT";1690;"CHATTOGRAM";9119000;"24 NO. NORTH AGRABAD WARD, DOUBLE MOORING";5395.858
"A COMFORTABLE 1238 SQ FT FLAT IS HERE FOR SALE IN LAKE CIRCUS ROAD, KALABAGAN";3;3;1;"VACANT";1238;"DHAKA";11000000;"LAKE CIRCUS ROAD, KALABAGAN";8885.2989
"A COMFORTABLE AND CONVENIENT 1350 SQ.FT HOUSE IS READY FOR SALE AT CHAWK BAZAR CLOSE TO CHITTAGONG COLLEGE MOSQUE.";3;4;1;"VACANT";1350;"CHATTOGRAM";7500000;"CHAWK BAZAR, 16 NO. CHAWK BAZAAR WARD";5555.5556
"A COMFORTABLE AND CONVENIENT 1415 SQ.FT HOUSE IS FOR SALE AT MOGBARI CHOUMOHONI";3;3;2;"VACANT";1415;"CUMILLA";5665000;"MOGBARI CHOUMOHONI, CHOTORA";4003.5336
"A COMFORTABLE AND CONVENIENT 1470 SQ.FT HOUSE IS FOR SALE AT NORTH BAGICHAGAON CLOSE TO BAGICHAGAON GOVT. PRIMARY SCHOOL.";3;3;8;"VACANT";1470;"CUMILLA";5880000;"NORTH BAGICHAGAON, BAGICHAGAON";4000.0
"A COMFORTABLY PLANNED FLAT OF 1,150 SQ. FT. IS UP FOR SALE NOW IN AGARGAON";3;2;8;"VACANT";1150;"DHAKA";6325000;"KUTUM GOLI, AGARGAON";5500.0
"A COMFY 2100 SQ FT FLAT FOR A FAMILY IS HERE FOR SALE IN ROSE VALLEY R/A, RIGHT CLOSE TO KTC";3;4;3;"VACANT";2100;"CHATTOGRAM";16000000;"ROSE VALLEY RESIDENTIAL AREA, 9 NO. NORTH PAHARTALI WARD";7619.0476
"A COMFY LIFE IS AWAITING YOU IN THIS 1575 SQ FT APARTMENT READY FOR SALE AT KATALGANJ R/A";3;3;5;"VACANT";1575;"CHATTOGRAM";14014000;"KATALGANJ RESIDENTIAL AREA, 16 NO. CHAWK BAZAAR WARD";8897.7778
